Brightness,Contrast,Saturation,Hue,F1 Score
0.55,0.20,0.23,0.64 ,0.041829977184534
0.55,0.20,0.23,0.64 ,0.041829977184534
0.55,0.20,0.23,0.64 ,0.041829977184534
0.67,0.26,0.65,0.27 ,0.0507477074861526
0.67,0.26,0.65,0.27 ,0.0507477074861526
0.67,0.26,0.65,0.27 ,0.0507477074861526
0.80,0.42,0.54,0.65 ,0.0584663227200508
0.80,0.42,0.54,0.65 ,0.0584663227200508
0.80,0.42,0.54,0.65 ,0.0584663227200508
0.57,0.45,0.56,0.78 ,0.0124917505308985
0.57,0.45,0.56,0.78 ,0.0124917505308985
0.57,0.45,0.56,0.78 ,0.0124917505308985
0.41,0.28,0.55,0.47 ,0.0387549474835395
0.41,0.28,0.55,0.47 ,0.0387549474835395
0.41,0.28,0.55,0.47 ,0.0387549474835395
0.48,0.55,0.34,0.64 ,0.0519072189927101
0.48,0.55,0.34,0.64 ,0.0519072189927101
0.48,0.55,0.34,0.64 ,0.0519072189927101
0.74,0.73,0.60,0.40 ,0.0249812379479408
0.74,0.73,0.60,0.40 ,0.0249812379479408
0.74,0.73,0.60,0.40 ,0.0249812379479408
0.77,0.77,0.24,0.36 ,0.0518414042890071
0.77,0.77,0.24,0.36 ,0.0518414042890071
0.77,0.77,0.24,0.36 ,0.0518414042890071
