clipping_limit                   filter_sizeF1_Score_To
                                4          40.111136712
                                8          40.111330226
                               32          80.089991450
                                4          80.086242407
                                2          80.096451498
                                8          80.089336156
                                4         320.084970355
                               16          80.076513051
                                4         160.118868082
                                2         320.060661554
                                8         320.054311506
                                8         160.066957093
                               16          40.119421765
                               32          40.053592152
                               32         160.060148566
                                2          40.097966372
                               16         320.028199473
                               32         320.033334061
                               16         160.039301704
                                2         160.035695083
